StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1,manipcheck_year,manipcheck_candpref,manipcheck_whowon,approval,treat
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Paste IRB-approved text here,In which year did the campaign take place?,Which candidate did China prefer?,Who won the U.S. Presidential election?,Do you approve or disapprove of how China behaved in this situation?,treat
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID13""}","{""ImportId"":""treat""}"
2/2/22 5:46,2/2/22 5:46,Survey Test,,100,0,TRUE,2/2/22 5:46,R_bxaZS4ADtSY2kxo,,,,,40.48800659,-74.45439911,test,,I Disagree,,,,,
2/2/22 5:46,2/2/22 5:46,Survey Test,,100,0,TRUE,2/2/22 5:46,R_3ELAl3ACpX92OwK,,,,,40.48800659,-74.45439911,test,,I Agree,2018,No information given,No information given,Approve somewhat,endorsement
2/2/22 5:46,2/2/22 5:46,Survey Test,,100,0,TRUE,2/2/22 5:46,R_2t6TRVpehJjfqhU,,,,,40.48800659,-74.45439911,test,,I Agree,2018,No information given,Neither candidate,Disapprove somewhat,endorsement
2/2/22 5:46,2/2/22 5:46,Survey Test,,100,0,TRUE,2/2/22 5:46,R_3n6NZtAF5peYkOa,,,,,40.48800659,-74.45439911,test,,I Agree,2016,The Democratic candidate,The Republican candidate,Approve strongly,endorsement
2/2/22 5:46,2/2/22 5:46,Survey Test,,100,0,TRUE,2/2/22 5:46,R_0iHvplMIs79LfM2,,,,,40.48800659,-74.45439911,test,,I Disagree,,,,,
2/2/22 5:46,2/2/22 5:46,Survey Test,,100,0,TRUE,2/2/22 5:46,R_3KTS05uJ0IfLrSu,,,,,40.48800659,-74.45439911,test,,I Agree,,,,Disapprove strongly,operation
2/2/22 5:46,2/2/22 5:46,Survey Test,,100,0,TRUE,2/2/22 5:46,R_50ZMpzkoxv3UWdU,,,,,40.48800659,-74.45439911,test,,I Agree,,,,Neither approve nor disapprove,operation
2/2/22 5:46,2/2/22 5:46,Survey Test,,100,0,TRUE,2/2/22 5:46,R_ebAsFbFMvSszxVs,,,,,40.48800659,-74.45439911,test,,I Disagree,,,,,
